quarter,level_1,level_2,level_3,value
2002-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
2002-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,48
2002-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,-15
2003-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-30
2003-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-62
2003-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-82
2003-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-36
2003-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-22
2003-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,18
2003-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
2003-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,-28
2003-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,3
2003-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,2
2003-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,35
2003-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,56
2003-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,23
2003-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,20
2003-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,47
2003-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
2003-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,32
2003-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,24
2003-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,16
2003-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,26
2003-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,96
2003-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,25
2003-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,21
2003-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,36
2003-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
2003-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,44
2003-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,1
2003-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,9
2003-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-21
2003-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,32
2003-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,58
2003-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,58
2003-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,22
2003-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
2003-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,89
2003-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,13
2004-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,25
2004-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-3
2004-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,12
2004-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,34
2004-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,70
2004-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,26
2004-Q1,Total Services Sector,Financial & Insurance,Fund Management,80
2004-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,43
2004-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,71
2004-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,34
2004-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,24
2004-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,43
2004-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,66
2004-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,63
